code,name,faculty,credit
AIM4053,Advanced Interactive Media Workshop,SCC,3
ENV3163,Atmospheric Science and Pollution,FST,3
BUS3023,Business Research Methods,FBM,3
FIN4043,Business Valuation,FBM,3
THEM3043,Digital Marketing in Tourism and Hospitality,SCC,3
DMM3023,Digital Storytelling,FBM,3
PSY3053,Educational Psychology,FST,3
UCLC1033,English for Academic Purposes III,SGE,3
CCGC1013,Introduction to Communication Theories,FHSS,3
BA3083,Multiple Criteria Decision Making,FBM,3
CTV2003,Aesthetics of Film,SCC,3
TRA2023,Contrastive Language Studies: English and Chinese,FHSS,3
BIOL1023,Diversity of Life and Laboratory,FST,3
ENG3283,English Through Critical Thinking,SGE,3
CCM2113,Event Planning and Management,SCC,3
THEM3003,Intercultural Management in Tourism and Hospitality,SCC,3
ECON3063,Intermediate Microeconomics,FBM,3
FINM3013,Introduction to Financial Derivatives,FST,3
ENG30838002,Language and Ethnography,FHSS,3
GTSC2103,Lifestyle and Health,FST,3
EPIN3053,Logistics and Transportation Management,FBM,3
MUS2133,Music Harmony and Analysis II,SCC,3
MUS1193,Music Theory and Ear Training II,SCC,3
CCM3163,Principles of Creative Arts Management,SCC,3
ECON2013,Principles of Microeconomics,FBM,3
GTSC2053,Telling A Story With Data,FHSS,3
TRA2093,Translation across Media,FHSS,3
BUS1013,"Business, Entrepreneurship, and Innovation",FBM,3
MCOM2013,Communication Theories I,FHSS,3
EBIS3023,Electronic Commerce,FBM,3
GFHC1133,Great Discoveries in World Archaeology,FHSS,3
ENV1043,Introduction to Environmental Science,FST,3
TRA10038002,Introduction to Translation,FHSS,3
JAP1013,Japanese I,SGE,3
AI2033,Probability and Statistics,FST,3
STAT3003,Survey Sampling,FST,3
CCGC3003,Traditional Chinese Civilization in the Global Context,FHSS,3
PSY3193,Advanced Data Analytics for Psychology,FST,3
ENG2173,American Literature: Traditions of Democracy and Dissent,FHSS,3
ACCT4003,Auditing I,FBM,3
DS4083,Big Data Analytics,FST,3
CCGC1023,China in Western Cultures,FHSS,3
CCGC4003,Chinese Literature and Society,FHSS,3
TRA3113,Commercial Translation,FHSS,3
COMP4033,Computer Graphics,FST,3
POLS2073,Cooperation and Progress in the Guangdong-Hong Kong-Macau Greater Bay Area,FHSS,3
GFQR1023,Data Analytics for Business,FST,3
DSS2003,Employment and Tax Policy for Digital Economy,FHSS,3
DSS3083,Quantum Social Science,FHSS,3
FOOD4123,Food Packaging,FST,3
COMP1023,Foundations of C Programming,FST,3
MUS3063,History and Repertoire of Romantic Music,SCC,3
CTV2073,Introduction to Communication Theory,SCC,3
BUS4093,Management Information Systems,FBM,3
ECON2023,Mathematical Economics,FBM,3
BIOL2093,Microbiology,FST,3
MATH3033,Partial Differential Equations,FST,3
FIN3063,Principles of Corporate Finance,FST,3
GLD3093,Rural Economic Development and Transformation in Globalising China,FHSS,3
BA3113,Supply Chain Management and Logistics,FBM,3
PSY3023,Abnormal Psychology,FST,3
TESL3003,Bilingualism and Bilingual Education,FHSS,3
MATH1083,Calculus II,FST,3
STAT4043,Categorical Data Analysis,FST,3
CTV2033,Communication Research Methods,SCC,3
MATH4033,Computational Finance,FST,3
PRA3083,Crisis Management and Risk Communication,FHSS,3
BA2013,Data Mining with Big Data,FBM,3
COMP3023,Design and Analysis of Algorithms,FST,3
DMM2013,Digital Media Technologies,FBM,3
CCM3133,Exhibition Design: Creative Interpretation and Management,SCC,3
MKT3013,Global Marketing,FBM,3
MHR4003,Human Resource Strategy and Planning,FBM,3
CTV1013,Introduction to Media Aesthetics,SCC,3
EPIN3023,Marketing for Entrepreneurs,FBM,3
AI3133,Natural Language Processing,FST,3
ENV3183,Practical Environmental Analysis and Monitoring,FST,3
BUS2013,Principles of Law,FBM,3
BUS2053,Principles of Law,FBM,3
MATH3163,Real Analysis,FST,3
TRA3153,Translating China in the Digital Age,FHSS,3
MATH3183,Vector Calculus and Complex Analysis,FST,3
GFHC1163,American Civilizations,FHSS,3
CCGC2033,Chinese Philology,FHSS,3
ACCT3013,Cost and Management Accounting II,FBM,3
ACCT2043,Principles of Accounting I,FBM,3
CCM4053,Cultural Heritage and Tourism,SCC,3
GERM2003,German III,SGE,3
PSY2043,Introduction to Psychology,FST,3
COMP3033,Operating Systems,FST,3
ACCT2003,Principles of Accounting I,FBM,3
PRA2013,Principles of Advertising,FHSS,3
PSY4063,Psychology of the Chinese People,FST,3
MUS3023,Tonal Counterpoint,SCC,3
FINM4073,Advanced Financial Mathematics,FST,3
DS1023,Advanced Mathematics for Data Science,FST,3
FOOD1023,Application of Chemistry in Society,FST,3
BUS1023,Business and Society,FBM,3
ACCT3083,Chinese Taxation Law,FBM,3
CCM3173,Concepts of Contemporary Arts in Cultural Industries,SCC,3
EPIN4003,Corporate Entrepreneurship,FBM,3
